Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2511,Blé et produits,2017,2017,Milliers de tonnes,5640.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2805,Riz et produits,2017,2017,Milliers de tonnes,717.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2513,Orge et produits,2017,2017,Milliers de tonnes,18.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2514,Maïs et produits,2017,2017,Milliers de tonnes,50.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2515,Seigle et produits,2017,2017,Milliers de tonnes,0.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2516,Avoine,2017,2017,Milliers de tonnes,0.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2517,Millet et produits,2017,2017,Milliers de tonnes,9.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2520,"Céréales, Autres",2017,2017,Milliers de tonnes,0.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2531,Pommes de Terre et produits,2017,2017,Milliers de tonnes,228.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2536,"Sucre, canne",2017,2017,Milliers de tonnes,0.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2542,Sucre Eq Brut,2017,2017,Milliers de tonnes,331.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2543,Edulcorants Autres,2017,2017,Milliers de tonnes,17.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2745,Miel,2017,2017,Milliers de tonnes,1.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2549,Légumineuses Autres et produits,2017,2017,Milliers de tonnes,77.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2551,Noix et produits,2017,2017,Milliers de tonnes,20.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2555,Soja,2017,2017,Milliers de tonnes,0.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2556,Arachides Decortiquees,2017,2017,Milliers de tonnes,1.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5142,Nourriture,2560,Coco (Incl Coprah),2017,2017,Milliers de tonnes,0.0,S,Données standardisées
