Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2511,Blé et produits,2017,2017,Milliers de tonnes,4281.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2805,Riz et produits,2017,2017,Milliers de tonnes,338.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2513,Orge et produits,2017,2017,Milliers de tonnes,95.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2514,Maïs et produits,2017,2017,Milliers de tonnes,174.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2517,Millet et produits,2017,2017,Milliers de tonnes,9.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2518,Sorgho et produits,2017,2017,Milliers de tonnes,0.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2531,Pommes de Terre et produits,2017,2017,Milliers de tonnes,513.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2536,"Sucre, canne",2017,2017,Milliers de tonnes,34.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2537,"Sucre, betterave",2017,2017,Milliers de tonnes,2.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2542,Sucre Eq Brut,2017,2017,Milliers de tonnes,2.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2543,Edulcorants Autres,2017,2017,Milliers de tonnes,0.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2745,Miel,2017,2017,Milliers de tonnes,1.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2549,Légumineuses Autres et produits,2017,2017,Milliers de tonnes,37.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2551,Noix et produits,2017,2017,Milliers de tonnes,38.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2557,Graines de tournesol,2017,2017,Milliers de tonnes,1.0,S,Données standardisées
FBS,Nouveaux Bilans Alimentaire,2,Afghanistan,5511,Production,2559,Graines de coton,2017,2017,Milliers de tonnes,37.0,S,Données standardisées
