Zone,Disponibilité intérieure_dispo,Exportations - Quantité_dispo,Importations - Quantité_dispo,Nourriture_dispo,Pertes_dispo,Production_dispo,Valeur_population,Exportations - quantité_import,Exportations - valeur_import,Importations - quantité_import,Importations - valeur_import,Valeur_pib,Outlets_kfc,"Viande poids vif, poulet, totale_production"
Afghanistan,57000000.0,0.0,29000000.0,55000000.0,2000000.0,28000000.0,36296113.0,0.0,0.0,18970000.0,26227000.0,19034302820.0,0.0,0.0
Afrique du Sud,2118000000.0,63000000.0,514000000.0,2035000000.0,83000000.0,1667000000.0,57009756.0,6090000.0,7992000.0,397000.0,7394000.0,380851444100.0,955.0,1.00755
Albanie,47000000.0,0.0,38000000.0,47000000.0,0.0,13000000.0,2884169.0,0.0,0.0,4572000.0,3266000.0,13019729860.0,11.0,1.23485
Algérie,277000000.0,0.0,2000000.0,264000000.0,13000000.0,275000000.0,41389189.0,0.0,0.0,195000.0,19051000.0,170096987200.0,2.0,1.09035
Allemagne,1739000000.0,646000000.0,842000000.0,1609000000.0,0.0,1514000000.0,82658409.0,328450000.0,654322000.0,185661000.0,193759000.0,3690849153000.0,216.0,1.2042
Angola,319000000.0,0.0,277000000.0,315000000.0,2000000.0,42000000.0,29816766.0,0.0,0.0,1649000.0,1814000.0,122123858000.0,9.0,0.0
Antigua-et-Barbuda,7000000.0,0.0,7000000.0,5000000.0,0.0,0.0,95426.0,2000.0,6000.0,10000.0,35000.0,1467955556.0,0.0,0.0
Arabie saoudite,1435000000.0,10000000.0,722000000.0,1435000000.0,0.0,616000000.0,33101178.999999996,1962000.0,12897000.0,306000.0,17495000.0,714994695000.0,0.0,0.0
Argentine,1962000000.0,207000000.0,8000000.0,1856000000.0,106000000.0,2161000000.0,43937140.0,440000.0,1445000.0,671000.0,14940000.0,643628396200.0,18.0,1.1199999999999999
Arménie,47000000.0,0.0,35000000.0,47000000.0,0.0,11000000.0,2944791.0,0.0,0.0,6821000.0,4169000.0,11527458710.0,14.0,2.2914999999999996
Australie,1171000000.0,42000000.0,16000000.0,1171000000.0,0.0,1269000000.0,24584620.0,1215000.0,8262000.0,0.0,0.0,1413693491000.0,800.0,0.0
Autriche,173000000.0,78000000.0,110000000.0,160000000.0,0.0,148000000.0,8819901.0,14968000.0,13086000.0,14751000.0,32714000.0,417261151800.0,14.0,1.7838000000000003
Azerbaïdjan,129000000.0,0.0,27000000.0,129000000.0,0.0,104000000.0,9845320.0,41000.0,59000.0,3230000.0,5083000.0,40866632050.0,31.0,0.89185
Bahamas,26000000.0,0.0,24000000.0,16000000.0,0.0,6000000.0,381755.0,0.0,0.0,7000.0,317000.0,12490734930.0,13.0,0.0
Bangladesh,250000000.0,0.0,0.0,240000000.0,10000000.0,249000000.0,159685424.0,0.0,0.0,4056000.0,22282000.0,288937584600.0,46.0,0.0
Barbade,17000000.0,0.0,2000000.0,13000000.0,0.0,15000000.0,286232.0,41000.0,595000.0,0.0,0.0,4992300000.0,12.0,0.0
Belgique,152000000.0,656000000.0,338000000.0,144000000.0,0.0,463000000.0,11419748.0,132204000.0,120048000.0,141743000.0,207538000.0,502764720600.0,13.0,0.48585
Belize,19000000.0,0.0,0.0,10000000.0,0.0,20000000.0,375769.0,0.0,0.0,132000.0,665000.0,2266664817.0,0.0,0.0
Bolivie (État plurinational de),429000000.0,1000000.0,1000000.0,403000000.0,27000000.0,533000000.0,11192855.0,0.0,0.0,936000.0,4727000.0,37508642170.0,0.0,0.0
Bosnie-Herzégovine,55000000.0,8000000.0,10000000.0,56000000.0,0.0,61000000.0,3351525.0,5654000.0,617000.0,24491000.0,2605000.0,18326376390.0,0.0,0.48375
Botswana,7000000.0,0.0,3000000.0,7000000.0,0.0,5000000.0,2205080.0,89000.0,29000.0,872000.0,3374000.0,16105153350.0,0.0,0.0
Brésil,9982000000.0,4223000000.0,3000000.0,9982000000.0,0.0,14201000000.0,207833823.0,17850000.0,69981000.0,40000.0,1425000.0,2063514689000.0,60.0,0.0
Bulgarie,157000000.0,45000000.0,108000000.0,157000000.0,0.0,107000000.0,7102444.0,30825000.0,11968000.0,1926000.0,4577000.0,59167655040.0,35.0,0.3347
Burkina Faso,46000000.0,0.0,0.0,44000000.0,2000000.0,46000000.0,19193234.0,450000.0,135000.0,744000.0,233000.0,14106957350.0,0.0,0.0
Bélarus,265000000.0,152000000.0,21000000.0,264000000.0,0.0,463000000.0,9450231.0,519000.0,299000.0,6733000.0,9034000.0,54725415190.0,0.0,0.3962
Bénin,161000000.0,0.0,123000000.0,161000000.0,0.0,18000000.0,11175198.0,0.0,0.0,14000.0,233000.0,12701652060.0,0.0,0.0
Cabo Verde,10000000.0,0.0,12000000.0,9000000.0,0.0,1000000.0,537498.0,0.0,0.0,115000.0,169000.0,1996741545.0,0.0,2.2346500000000002
