Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Code Mois,Mois,Unité,Valeur,Symbole,Description du Symbole
"PP","Prix à la Production","710","Afrique du Sud","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2015.1","A","Chiffre officiel"
"PP","Prix à la Production","008","Albanie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2469.7","A","Chiffre officiel"
"PP","Prix à la Production","012","Algérie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2180.7","A","Chiffre officiel"
"PP","Prix à la Production","276","Allemagne","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","948.9","A","Chiffre officiel"
"PP","Prix à la Production","276","Allemagne","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1459.5","A","Chiffre officiel"
"PP","Prix à la Production","032","Argentine","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","915.9","A","Chiffre officiel"
"PP","Prix à la Production","032","Argentine","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1324.1","A","Chiffre officiel"
"PP","Prix à la Production","051","Arménie","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","841.8","A","Chiffre officiel"
"PP","Prix à la Production","051","Arménie","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","3741.2","A","Chiffre officiel"
"PP","Prix à la Production","040","Autriche","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1216.7","A","Chiffre officiel"
"PP","Prix à la Production","040","Autriche","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","2350.9","A","Chiffre officiel"
"PP","Prix à la Production","031","Azerbaïdjan","5532","Prix à la Production (USD/tonne)","21121","Viande, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","1783.7","A","Chiffre officiel"
"PP","Prix à la Production","112","Bélarus","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","792.4","A","Chiffre officiel"
"PP","Prix à la Production","056","Belgique","5532","Prix à la Production (USD/tonne)","21121b","Viande poids vif, poulet, fraîche ou réfrigérée","2017","2017","7021","Valeur annuel","USD","971.7","A","Chiffre officiel"
