iter	Passed	Remaining
0	7	7568
1	15	7802
2	19	6627
3	23	5956
4	27	5546
5	32	5306
6	35	4990
7	38	4761
8	41	4594
9	45	4503
10	48	4382
11	51	4226
12	54	4108
13	56	3995
14	59	3926
15	62	3870
16	65	3799
17	68	3752
18	71	3695
19	73	3621
20	76	3571
21	79	3513
22	81	3453
23	83	3401
24	85	3346
25	88	3306
26	90	3257
27	92	3209
28	94	3158
29	96	3112
30	98	3065
31	99	3021
32	101	2978
33	103	2937
34	105	2905
35	107	2881
36	110	2869
37	112	2854
38	115	2840
39	117	2824
40	120	2810
41	122	2793
42	124	2779
43	127	2769
44	129	2750
45	132	2743
46	134	2733
47	137	2722
48	139	2712
49	142	2700
50	144	2689
51	147	2680
52	149	2669
53	152	2662
54	154	2650
55	156	2639
56	159	2631
57	161	2619
58	163	2611
59	166	2600
60	168	2594
61	171	2588
62	173	2580
63	176	2576
64	178	2569
65	181	2563
66	184	2562
67	186	2554
68	189	2554
69	191	2548
70	194	2542
71	196	2538
72	199	2531
73	201	2523
74	204	2517
75	206	2513
76	209	2508
77	211	2501
78	213	2492
79	216	2485
80	218	2480
81	221	2475
82	223	2470
83	225	2463
84	228	2459
85	231	2457
86	233	2451
87	236	2447
88	238	2441
89	240	2435
90	243	2431
91	245	2426
92	248	2422
93	251	2423
94	254	2423
95	256	2418
96	259	2413
97	261	2408
98	264	2406
99	267	2404
100	270	2403
101	272	2399
102	275	2395
103	277	2393
104	280	2389
105	283	2388
106	285	2385
107	288	2380
108	290	2377
109	293	2373
110	295	2370
111	298	2368
112	301	2365
113	303	2360
114	306	2357
115	308	2352
116	311	2351
117	314	2348
118	316	2345
119	319	2341
120	321	2339
121	324	2334
122	327	2332
123	329	2331
124	333	2331
125	335	2330
126	338	2328
127	341	2324
128	343	2322
129	346	2320
130	349	2318
131	351	2314
132	354	2312
133	357	2310
134	359	2306
135	362	2303
136	365	2300
137	367	2297
138	370	2293
139	372	2291
140	375	2287
141	378	2285
142	381	2284
143	383	2280
144	386	2278
145	389	2277
146	392	2275
147	394	2272
148	397	2269
149	399	2265
150	402	2264
151	405	2263
152	408	2259
153	410	2255
154	413	2252
155	415	2249
156	418	2247
157	421	2246
158	424	2243
159	427	2241
160	429	2239
161	432	2236
162	435	2234
163	437	2231
164	440	2229
165	443	2227
166	446	2226
167	449	2223
168	451	2220
169	454	2218
170	457	2216
171	459	2212
172	462	2209
173	464	2206
174	467	2203
175	470	2200
176	473	2199
177	475	2195
178	477	2191
179	480	2188
180	483	2185
181	485	2183
182	488	2180
183	490	2176
184	493	2174
185	495	2170
186	498	2167
187	501	2163
188	503	2159
189	506	2158
190	509	2156
191	511	2153
192	514	2150
193	516	2147
194	519	2143
195	522	2141
196	525	2140
197	528	2138
198	530	2135
199	533	2133
200	536	2131
201	538	2128
202	541	2125
203	543	2122
204	546	2118
205	549	2116
206	551	2112
207	554	2109
208	556	2106
209	559	2103
210	561	2100
211	564	2098
212	566	2094
213	569	2091
214	572	2089
215	574	2085
216	577	2082
217	580	2080
218	582	2077
219	585	2075
220	588	2072
221	590	2069
222	592	2065
223	595	2064
224	598	2061
225	601	2058
226	603	2056
227	606	2054
228	609	2051
229	611	2048
230	614	2046
231	617	2043
232	620	2041
233	623	2040
234	626	2037
235	628	2034
236	631	2032
237	633	2029
238	636	2026
239	638	2023
240	641	2019
241	644	2017
242	646	2014
243	649	2013
244	652	2010
245	654	2007
246	657	2004
247	660	2001
248	662	1999
249	665	1996
250	668	1993
251	670	1991
252	673	1988
253	675	1985
254	678	1982
255	681	1980
256	684	1977
257	686	1975
258	689	1972
259	691	1969
260	694	1966
261	697	1963
262	699	1960
263	702	1958
264	705	1955
265	707	1953
266	710	1950
267	713	1947
268	715	1944
269	717	1940
270	720	1937
271	722	1934
272	725	1931
273	727	1928
274	730	1925
275	732	1922
276	735	1918
277	737	1916
278	740	1913
279	743	1910
280	745	1908
281	748	1905
282	751	1902
283	753	1900
284	756	1897
285	759	1895
286	761	1892
287	764	1891
288	767	1888
289	770	1885
290	773	1883
291	776	1881
292	779	1879
293	781	1877
294	784	1874
295	786	1871
296	789	1869
297	792	1867
298	795	1864
299	797	1861
300	800	1859
301	803	1856
302	806	1854
303	808	1851
304	811	1849
305	814	1846
306	816	1843
307	819	1840
308	822	1838
309	824	1836
310	827	1833
311	830	1831
312	833	1829
313	835	1826
314	838	1823
315	841	1820
316	843	1818
317	846	1815
318	849	1812
319	851	1809
320	854	1806
321	856	1803
322	859	1801
323	861	1798
324	864	1795
325	867	1792
326	869	1790
327	872	1787
328	875	1784
329	878	1782
330	880	1780
331	883	1776
332	885	1774
333	888	1771
334	890	1768
335	893	1765
336	895	1762
337	898	1760
338	901	1757
339	903	1754
340	906	1752
341	909	1749
342	912	1746
343	914	1743
344	917	1741
345	919	1738
346	922	1736
347	925	1733
348	927	1730
349	930	1727
350	933	1725
351	935	1723
352	938	1720
353	941	1717
354	943	1714
355	946	1712
356	949	1710
357	952	1707
358	954	1705
359	957	1702
360	960	1699
361	963	1697
362	965	1694
363	968	1691
364	971	1689
365	974	1687
366	976	1685
367	979	1682
368	982	1679
369	985	1678
370	988	1675
371	990	1672
372	993	1670
373	996	1667
374	999	1665
375	1002	1663
376	1005	1660
377	1007	1658
378	1010	1656
379	1013	1653
380	1016	1652
381	1019	1649
382	1022	1647
383	1025	1644
384	1028	1642
385	1031	1640
386	1034	1638
387	1037	1635
388	1040	1634
389	1043	1631
