Model,Accuracy
Logistic Regression,0.9933333333333333
KNN,0.9833333333333333
Random Forest,0.99
SVM,0.9966666666666667
MLP Neural Network,0.9933333333333333
XGBoost,0.9933333333333333
QDA,0.9966666666666667
Naive Bayes,0.9933333333333333
HistGradientBoosting,0.99
Extra Trees,0.9933333333333333
Gaussian Process,0.9933333333333333
Ridge Classifier,0.9833333333333333
NuSVC,0.9866666666666667
Decision Tree,0.9866666666666667
Bagging,0.9866666666666667
AdaBoost,0.98
LightGBM,0.9933333333333333
CatBoost,0.9866666666666667
QDA,0.9966666666666667
LDA,0.9833333333333333
BernoulliNB,0.96
PassiveAggressive,0.9866666666666667
Perceptron,0.99
Label Propagation,0.9766666666666667
