id_bien;id_commune;type_local;surface_carrez;surface_reelle;nombre_pieces;surface_terrain
0;01103;Appartement;48,22;48;3;
1;06004;Appartement;39,11;40;1;
2;06088;Appartement;80,25;82;3;
3;06123;Appartement;27,51;27;1;
4;13005;Appartement;47,33;47;2;
5;13028;Appartement;25,31;24;1;
6;13208;Appartement;70,84;70;3;
7;13212;Appartement;67,19;66;3;
8;14338;Appartement;18,89;19;1;
9;14366;Maison;105,37;99;4;
10;17300;Appartement;31,99;34;2;
11;25056;Maison;96,21;100;5;
12;29232;Appartement;30,86;31;1;
13;29260;Appartement;66,21;67;3;
14;31555;Appartement;45,58;46;2;
15;33063;Appartement;23,2;27;1;
16;33063;Appartement;13,1;12;1;
17;33097;Appartement;29;29;2;
18;33449;Appartement;51,4;51;2;
19;34145;Appartement;16,79;18;1;
20;34150;Appartement;51,4;51;2;
21;34199;Appartement;68,22;85;3;
22;37156;Maison;88,45;89;4;
23;37261;Appartement;42,94;46;2;
24;38185;Appartement;76,48;77;4;
25;40266;Maison;48,23;53;3;
26;40328;Appartement;49,91;48;2;
27;44143;Appartement;46,3;45;2;
28;44184;Appartement;47,24;48;2;
29;51230;Appartement;81,09;79;4;
30;54395;Appartement;39,69;39;2;
31;56161;Appartement;43,85;44;3;
32;58194;Appartement;108,78;124;4;
33;59512;Appartement;89,84;71;3;
34;60057;Appartement;48,35;48;2;
35;60155;Appartement;19,11;18;1;
36;60159;Appartement;97,39;97;5;
37;60524;Appartement;31,73;32;1;
38;69149;Appartement;49,89;51;2;
39;69384;Appartement;20,02;20;1;
40;74119;Appartement;34,86;33;2;
41;74236;Appartement;39,05;39;2;
42;74238;Appartement;18,93;20;1;
43;74278;Appartement;88,59;88;4;
44;75105;Appartement;30,05;41;2;
45;75110;Appartement;32,3;32;2;
46;75111;Appartement;120,28;120;4;
47;75111;Appartement;17,94;28;2;
48;75111;Appartement;28,39;28;2;
49;75112;Appartement;18;41;2;
50;75112;Appartement;51,44;51;3;
51;75112;Appartement;10,06;10;1;
52;75115;Appartement;88,3;88;4;
53;75118;Appartement;23,98;18;1;
54;75118;Appartement;53,59;39;2;
55;75118;Appartement;24,3;25;2;
56;76217;Appartement;61,52;59;4;
57;76451;Appartement;57,27;58;3;
58;76655;Appartement;23,98;25;1;
59;77118;Appartement;35,32;40;2;
60;78350;Appartement;89,41;89;4;
61;78423;Appartement;106,19;107;5;
62;78545;Appartement;67,76;70;4;
63;78545;Appartement;40,55;40;2;
64;78551;Appartement;84,31;142;5;
65;78586;Appartement;74;74;3;
66;78640;Appartement;49,16;48;2;
67;83062;Appartement;50,74;50;2;
68;83069;Appartement;20,15;20;1;
69;83112;Appartement;47,52;38;2;
70;83123;Maison;86,92;91;5;
71;84007;Appartement;37,24;40;2;
72;85047;Appartement;43,12;45;2;
73;86062;Appartement;30,42;30;1;
74;86194;Appartement;71,03;75;4;
75;87075;Appartement;62,95;62;2;
76;87085;Appartement;43,54;43;2;
77;91249;Appartement;128,34;128;5;
78;91689;Appartement;43,42;43;2;
79;92025;Appartement;49,45;55;3;
80;92026;Appartement;62,1;65;3;
81;92036;Appartement;59,35;59;3;
82;92044;Appartement;52,85;55;2;
83;93032;Maison;106,31;90;4;115
84;93051;Appartement;77,93;77;4;
85;93057;Appartement;46;46;2;
