id_commune;code_region;population_municipale;population_comptee_a_part;population_total
01001;84;779;19;798
01002;84;256;1;257
01004;84;14134;380;14514
01005;84;1751;25;1776
01006;84;112;6;118
01007;84;2800;115;2915
01008;84;762;15;777
01009;84;326;9;335
01010;84;1105;17;1122
01011;84;368;11;379
01012;84;329;4;333
01013;84;143;4;147
01014;84;3349;93;3442
01015;84;650;17;667
01016;84;460;9;469
01017;84;457;16;473
01019;84;27;4;31
01021;84;1457;28;1485
01022;84;1249;18;1267
01023;84;76;0;76
01024;84;3251;65;3316
01025;84;4065;106;4171
01026;84;973;68;1041
01027;84;2563;52;2615
01028;84;617;17;634
01029;84;685;8;693
01030;84;829;15;844
01031;84;3652;234;3886
01032;84;3376;29;3405
01033;84;16378;350;16728
01034;84;9182;400;9582
01035;84;310;8;318
01036;84;1326;19;1345
01037;84;308;4;312
01038;84;754;21;775
01039;84;443;8;451
01040;84;486;10;496
01041;84;748;21;769
01042;84;291;14;305
01043;84;4754;113;4867
01044;84;632;16;648
01045;84;283;4;287
01046;84;895;8;903
01047;84;1182;32;1214
01049;84;3283;73;3356
01050;84;365;4;369
01051;84;91;1;92
01052;84;328;6;334
01053;84;41111;1742;42853
01054;84;1457;32;1489
01056;84;349;5;354
01057;84;519;16;535
01058;84;828;21;849
01060;84;493;21;514
01061;84;1144;35;1179
01062;84;934;22;956
01063;84;533;7;540
01064;84;1070;20;1090
01065;84;1812;64;1876
01066;84;89;1;90
01067;84;255;13;268
01068;84;775;15;790
01069;84;1503;39;1542
01071;84;4808;117;4925
01072;84;3194;62;3256
01073;84;1000;25;1025
01074;84;2589;35;2624
01075;84;1382;31;1413
01076;84;125;3;128
01077;84;196;3;199
01078;84;1557;33;1590
01079;84;811;31;842
01080;84;643;14;657
01081;84;735;21;756
01082;84;628;14;642
01083;84;927;17;944
01084;84;895;18;913
01085;84;400;5;405
01087;84;282;10;292
01088;84;903;27;930
01089;84;2253;50;2303
01090;84;356;6;362
01092;84;1604;58;1662
01093;84;4931;203;5134
01094;84;761;12;773
01095;84;853;12;865
01096;84;1034;30;1064
01098;84;1159;36;1195
01099;84;1566;57;1623
01100;84;131;4;135
01101;84;152;7;159
01102;84;961;15;976
01103;84;2149;47;2196
01104;84;461;10;471
01105;84;1829;53;1882
01106;84;179;7;186
01107;84;133;4;137
01108;84;1176;24;1200
01109;84;2226;46;2272
01110;84;156;2;158
01111;84;132;1;133
01112;84;450;12;462
01113;84;817;12;829
01114;84;667;12;679
01115;84;1333;30;1363
01116;84;498;12;510
01117;84;151;2;153
01118;84;1278;32;1310
01121;84;116;1;117
01123;84;1162;35;1197
01124;84;689;8;697
01125;84;612;13;625
01127;84;508;8;516
01128;84;305;1;306
01129;84;291;6;297
01130;84;2363;44;2407
01133;84;394;6;400
01134;84;1758;45;1803
01135;84;2171;64;2235
01136;84;893;20;913
01138;84;3004;64;3068
01139;84;444;5;449
01140;84;767;19;786
01141;84;453;15;468
01142;84;4777;57;4834
01143;84;9951;239;10190
01145;84;1179;22;1201
01146;84;436;3;439
01147;84;492;3;495
01148;84;1879;46;1925
01149;84;1076;28;1104
01150;84;214;5;219
01151;84;1146;27;1173
01152;84;748;20;768
01153;84;2115;74;2189
01155;84;143;4;147
01156;84;815;12;827
01157;84;2250;42;2292
01158;84;1048;17;1065
01159;84;3365;71;3436
01160;84;10026;163;10189
01162;84;65;3;68
01163;84;2038;35;2073
01165;84;1594;33;1627
01166;84;2423;61;2484
01167;84;634;24;658
01169;84;641;22;663
01170;84;1053;28;1081
01171;84;844;42;886
01173;84;13121;270;13391
01174;84;178;2;180
01175;84;784;23;807
01177;84;183;6;189
01179;84;1881;52;1933
01180;84;839;21;860
01181;84;1241;50;1291
01183;84;1479;29;1508
01184;84;763;26;789
01185;84;4844;176;5020
01187;84;618;21;639
01188;84;663;20;683
01189;84;1115;26;1141
01190;84;87;3;90
01191;84;154;4;158
01192;84;2277;61;2338
01193;84;222;7;229
01194;84;6346;93;6439
01195;84;1783;54;1837
01196;84;1226;13;1239
01197;84;351;13;364
01198;84;268;3;271
01199;84;2137;46;2183
01200;84;214;5;219
01202;84;7161;147;7308
01203;84;1313;42;1355
01204;84;735;15;750
01206;84;277;6;283
01207;84;317;12;329
01208;84;131;4;135
01209;84;778;16;794
01210;84;228;4;232
01211;84;1395;35;1430
01212;84;718;9;727
01213;84;1341;29;1370
01214;84;158;6;164
01215;84;140;3;143
01216;84;894;21;915
01219;84;164;3;167
01224;84;3225;31;3256
01225;84;372;8;380
