voie;id_bien;type_de_voie;id_no_voie
DU CHATEAU;0;RUE;347
EDOUARD BAUDOIN;1;BD;4
MARCEAU;2;RUE;20
DES VESPINS RN7;3;RTE;550
LES ARPEGES BD DES ABA;4;RES;9300
DU GRAND MADIER;5;RUE;27
DU PRADO;6;AV;360
DESSUARD;7;PARC;5076
DE NORMANDIE;8;RUE;1194
DES NOISETIERS;9;ALL;30
ROUGET DE L ISLE;10;RUE;11
BERTHE MORISOT;11;RUE;13
DU POHER;12;RUE;1
DES JARDINS;13;RUE;2
DU COMMANDANT TAILLANDIER;14;AV;5
PAUL DENUCE;15;RUE;15
SAINTE CATHERINE;16;RUE;176
LA BAYNASSE SUD;17;;822
DE BELFORT;18;RUE;9
MARC ANTOINE MENARD;19;RUE;183
ANDRE CHASSEFIERE;20;AV;50
DES ETATS DU LANGUEDOC;21;PL;8
JEAN-JACQUES ROUSSEAU;22;RUE;7
DE GRAMMONT;23;AV;197
MAL FOCH;24;BD;48
DU TAILLEUR;25;RTE;210
MER ET GOLF-LE BOUCANIER;26;RES;199
JEAN PERRIN;27;ALL;3
FERDINAND BUISSON;28;RUE;12
DE CHAMPAGNE;29;AV;35
MESSIER;30;RUE;26
GOLF SAINT LAURENT;31;;5794
DE PRUNEVEAUX;32;RUE;5
DU GENERAL DE GAULLE;33;BD;118
DE NOTRE DAME DU THIL;34;RUE;247
DE LA VILLE;35;RUE;34
JEAN BAPTISTE CLEMENT;36;SQ;15
JEAN JAURES;37;AV;84
DE LA BUSSIERE;38;RUE;54
ARTAUD;39;RUE;15
D ABONDANCE;40;AV;1
DU MONT D ARBOIS;41;AV;950
DE LA TELECABINE;42;RTE;110
DES VALLEES;43;AV;2308
SAINT MARCEL;44;BD;22
DE MAGENTA;45;BD;45
DE LA REPUBLIQUE;46;AV;14
SAINT MAUR;47;RUE;160
DU MOULIN JOLY;48;RUE;11
ERARD;49;RUE;36
DE CHARENTON;50;RUE;220
D AUSTERLITZ;51;RUE;17
EMERIAU;52;RUE;60
SQUARE CARPEAUX;53;RUE;4
DE CLICHY;54;AV;36
MARCADET;55;RUE;68
ALEXANDRE ANQUETIN;56;AV;16
DE LA BRESLE;57;PARC;5
FRANCOIS LAPERT;58;RUE;4
DE LA SOLIDARITE;59;RUE;5
HELENE LAZAREFF;60;ALL;4
DE DENTON;61;AV;1
ROBERT DESNOS;62;RUE;15
MAL DE LATTRE DE TASSIGNY;63;RUE;1
DE MAREIL;64;RUE;53
MAETERLINCK;65;RUE;1
DIVISION LECLERC;66;RUE;2
LES SAVELS;67;;
DE LA SABLIERE CAPTE;68;AV;31
LE GRAND SOLEIL;69;RES;9100
DES PAQUERETTES;70;ALL;8
CAMPANE;71;RUE;43
CARNOT;72;RUE;78
DU HAUT POITOU;73;ALL;20
DES DOUVES;74;RUE;9007
DU CLUZEAU;75;RUE;14
GEORGES BELJEAN;76;RUE;8
D ADELAIAU;77;RUE;2
DE LA DIVISION LECLERC;78;RUE;6
DE VARSOVIE;79;RUE;79
GEORGES CLEMENCEAU;80;BD;5
GEORGES THORETTON;81;RUE;32
JULES GUESDE;82;RUE;74
SAINTE FOY;83;AV;35
JOSEPHINE;84;ALL;4
JULES AUFFRET;85;ALL;129
GASTON BUSSIERE;86;PL;1
CLAUDE BERNARD;87;RUE;21
DE PROVENCE;88;RUE;18
DU CLOS SAINT NICOLAS;89;RUE;4
DE L EGALITE;90;RUE;7
DE LA FOSSE AUX BICHES;91;RUE;16
DU VEXIN;92;ALL;57
LES LIGNIERES;93;RES;9004
NEUVE;94;RUE;9
FERNAND THUILLART;95;RUE;27
DENAIN;96;RUE;2
LES CHENEVRIERS;97;RES;7052
DE L ENGIEN;98;PL;7102
DU DOCTEUR ROBERT;99;PL;9002
NIQUET;100;AV;15
DE SAINT LAURENT;101;CHE;7
ROSSINI;102;RUE;8
LAMARTINE;103;RUE;27
VALROSE;104;AV;4
VICTOR CAUVIN;105;AV;15
DU CHANT DE L ALOUETTE;106;IMP;5
DU 14 JUILLET;107;RUE;5279
FRANCIS DAVSO;108;RUE;55
BOSCARY;109;RUE;9
CRUDERE;110;RUE;9
GUSTAVE GANAY;111;BD;13
AUX NAMPS;112;RUE;4
PESTEL;113;RUE;1
P CASSAGNAVERE;114;AV;1
CHARLES KOECHLIN;115;RUE;1
DENFERT ROCHEREAU;116;AV;66
DES MENDRIES;117;RUE;6
DE LA HAUTE RIVE;118;RES;5
ANATOLE LE BRAZ;119;RUE;33
DE L ATLANTIQUE;120;BD;16
DAUMESNIL;121;AV;19
DES GOUILLOTTES;122;CHE;850
DU FAUBOURG ST JEAN;123;RUE;34
THEAULON;124;RUE;22
DE BILINA;125;QUAI;145
DES ANEMONES;126;RUE;80
ARNAVIELLE;127;RUE;4
DAUMESNIL;128;RUE;3
DE LA REPUBLIQUE;129;BD;230
DU TONDU;130;RUE;52
DES HIRONDELLES;131;RUE;17
LAURENT FIGNON;132;RUE;17
PASTEUR;133;AV;7
HENRI HERTZ;134;RUE;5
DES ERABLES;135;ALL;4
DOYEN GOSSE;136;RUE;6
BIR HAKEIM;137;PL;4
DE LA MUZELLE MT DE LANS;138;AV;13
GABRIELE  D ANNUNZIO;139;AV;176
VICTOR HUGO;140;AV;49
DU MARENSIN;141;AV;112
DES GREFFIERS;142;CHE;2
DE L EGALITE;143;BD;52
BONNE GARDE;144;RUE;18
PAUL VERLAINE;145;RUE;1
SAINT VINCENT;146;FG;239
DES ERABLES;147;ALL;13
DE COUTANCES;148;RTE;74
DES CARMELITES;149;IMP;7
DES SOEURS MACARONS;150;RUE;21
DE PORH MEN GUEN;151;RES;2
SIMONE;152;AV;19
JEAN JAURES;153;RUE;42
HENRI DURRE;154;RUE;468
AMPERE;155;RUE;2
DU GENERAL MANGIN;156;RUE;59
JEAN DE LA FONTAINE;157;IMP;35
JACQUES CARTIER;158;AV;1
DE LA GARE;159;AV;34
GRAND PLACE;160;PL;76
HIPPOLYTE GOMOT;161;RUE;31
DE LA GARE;162;AV;6
DES COLLONGES;163;RUE;78
ETIENNE POULET;164;RUE;496
SAINT PIERRE DE VAISE;165;RUE;72
DE LA RHODIACETA;166;PL;2
DE LA BANQUE;167;RUE;24
D ALSACE LORRAINE;168;RUE;22
DES MOULINS;169;RTE;13
DE LA SAUGE;170;RTE;110
SAINT DENIS;171;RUE;192
DE SAINTONGE;172;RUE;24
SAINT PAUL;173;RUE;8
DES BOULANGERS;174;RUE;30
DE BUCI;175;RUE;36
COGNACQ JAY;176;RUE;7
CLAUDE VELLEFAUX;177;AV;38
PLICHON;178;RUE;7
PHILIPPE AUGUSTE;179;AV;33
TRAVERSIERE;180;RUE;38
DE L ABBE CARTON;181;RUE;31
MARMONTEL;182;RUE;8
EMERIAU;183;RUE;22
LEGENDRE;184;RUE;62
MSTISLAV ROSTROPOVITCH;185;RUE;68
LEPIC;186;RUE;76
DUHESME;187;RUE;21
DAMREMONT;188;RUE;124
DES POISSONNIERS;189;RUE;89
DE TORCY;190;RUE;28
HENRI CHEVREAU;191;RUE;9
MICHEL DUBOSC;192;RUE;4
HENRY LEMONNIER;193;RUE;3
ROBERT DE THORIGNY;194;RUE;10
DU GENERAL DE GAULLE;195;RUE;19
REMY DUMONCEL;196;RUE;56
KONRAD ADENAUER;197;RUE;4
DU GENERAL DE GAULLE;198;AV;17
